Gap,Closing document,Holder,Status,Where,Basis
The number it takes,IEBC ECVR ward annex,IEBC,Open,Section 3.1; Section 2.1; Data layer: register.2026.by-ward; Figure fig-2-1-register,Sourced
The number it takes,"IEBC Form 37C, Kitui governor 2022",IEBC,Open,Section 3.1; Section 2.1,Sourced
"His largest electorate to date is Kitui Central's 77,764 registered voters: he has not yet stood for a countywide office, so his proof…","IEBC Form 35B, Kitui Central MP 2022, his vote total",IEBC,Open,Section 3.5,Sourced
Kitui listenership by station,GeoPoll or KARF county release,Audience-research publishers,Open,Section 3.8.1,Sourced
Handset ownership by ward,CA/KNBS,Communications Authority,Open,Section 3.8.1,Sourced
Agent count for Kitui,Central Bank of Kenya or Safaricom agent register,Central Bank of Kenya or Safaricom,Open,Section 3.8.1,Sourced
Market-day attendance,county trade department,County government or church offices,Open,Section 3.8.1,Sourced
Congregation sizes,diocesan and denominational offices,County government or church offices,Open,Section 3.8.1,Sourced
What the audit produces,Week 1 export,His team: the Week 1 export,Open,Section 3.9.1; Section 5.6.4; Section 1.3.1; Figure fig-1-5-scorecard; Figure fig-5-6-kpis,Sourced
"CA/KNBS publish countywide connectivity (26.2% internet use, 44.1% phone ownership, 2023/24), but no ward-by-ward coverage figure is…",Communications Authority coverage maps by ward,Communications Authority,Open,Section 3.10,Sourced
"The published rounds, and what each one measured",not published,To be named,Open,Section C.1,Sourced
"In-county active users per platform are not published: they are , and Section 3.8 sizes what digital can reach from the published rates…","Meta Audience Insights export, Week 1",His team: the Week 1 export,Open,Section 2.6,Sourced
The measurement set,"handles and follower counts for X, TikTok, Instagram, YouTube, and any WhatsApp Channel or Business number. Not estimated",To be named,Open,Section 5.3.1,Sourced
Wiper delegate register for Kitui,party secretariat,Wiper Patriotic Front secretariat,Open,Section 5.8.14,Sourced
"Give every post a voter, a ward and a reason",Week 1 post coding,His team: the Week 1 export,Open,Section 1.3.4,Sourced
His own 2022 vote total there,"IEBC Form 35B, Kitui Central MP 2022",IEBC,Open,Section 1.3.5; Data layer: result.2022.mp.mulu; Figure fig-2-2-results; Figure fig-3-5-field,Sourced
The Agro-Pastoralist & Arid-Zone Livestock Keepers,"KNBS 2019 Census, Volume IV: households keeping livestock, by sub-county",KNBS,Open,Section 4.3.3,Sourced
"High smartphone and feature-phone social media usage (smartphone adoption by age ); active on WhatsApp groups, TikTok, Facebook Mobile,…",CA/KNBS by age band,Communications Authority,Open,Section 4.3.4,Sourced
Higher mobile internet use than the county (urban smartphone share ); constant WhatsApp business use; daily interaction with county…,CA/KNBS urban/rural split,Communications Authority,Open,Section 4.3.5,Sourced
TSC establishment for Kitui,County Public Service Board staff return; Ministry of Health workforce data,Public-sector employers,Open,Section 4.3.6,Sourced
Internet use by education level,CA/KNBS 2023/24 tables,Communications Authority,Open,Section 4.3.6,Sourced
"The Out-of-County Kamba Diaspora Matrix (Nairobi, Coast & Nationwide)","KNBS 2019 Census migration tables, set against the IEBC register by polling station",IEBC,Open,Section 4.3.7,Sourced
Internet use in Nairobi and Mombasa,CA/KNBS 2023/24 county tables,Communications Authority,Open,Section 4.3.7,Sourced
Health insurance coverage,KNBS county bulletin,KNBS,Open,Section 4.4.6,Sourced
Child stunting,KNBS Demographic and Health Survey,KNBS,Open,Section 4.4.6,Sourced
Solid-fuel use,"KNBS 2019 Census, Volume IV",KNBS,Open,Section 4.4.6,Sourced
Which channel does which job,Kitui listenership by station,Audience-research publishers,Open,Section 4.6,Sourced
Fix first: six profile corrections,"one screenshot of Meta Business Suite, or of the Professional dashboard, settles this. It takes five minutes and it gates the rest of the audit",His team: the Week 1 export,Open,Section 4.7,Sourced
Workstream 7 — Ground-digital integration,county transport department or NTSA registration by county,NTSA or the county transport department,Open,Section 5.2.3.1,Sourced
Wiper NEC signed resolution: status,Wiper NEC resolution,Wiper Patriotic Front secretariat,Open,Figure fig-2-3-nomination,Sourced
Pollster's terms of reference: status,pollster's terms of reference,Wiper Patriotic Front secretariat,Open,Figure fig-2-3-nomination,Sourced
Ward-by-ward project record: value,"NG-CDF project inventory, verified",NG-CDF Kitui Central,Open,Figure fig-2-8-record,Sourced
"Dr. Mulu: posts per week, median shares, ads live","public pages, Week 1 audit",His team: the Week 1 export,Open,Figure fig-2-9-channels,Sourced
"Irene Kasalu: posts per week, median shares, ads live","public pages, Week 1 audit",His team: the Week 1 export,Open,Figure fig-2-9-channels,Sourced
"Enoch Wambua: posts per week, median shares, ads live","public pages, Week 1 audit",His team: the Week 1 export,Open,Figure fig-2-9-channels,Sourced
"Julius Malombe: posts per week, median shares, ads live","public pages, Week 1 audit",His team: the Week 1 export,Open,Figure fig-2-9-channels,Sourced
"Reach against the vote map: as displayed, or the figure","Meta Insights export, Week 1",His team: the Week 1 export,Open,Figure fig-3-9-audit,Sourced
"Ninety days, coded: as displayed, or the figure","Meta Insights export, Week 1",His team: the Week 1 export,Open,Figure fig-3-9-audit,Sourced
"Which language travels: as displayed, or the figure","Meta Insights export, Week 1",His team: the Week 1 export,Open,Figure fig-3-9-audit,Sourced
"Him against the field: as displayed, or the figure","Meta Insights export, Week 1",His team: the Week 1 export,Open,Figure fig-3-9-audit,Sourced
Test,"Meta Insights export, Week 1",His team: the Week 1 export,Open,Figure fig-3-11-evidence,Sourced
"Agro-pastoralist and arid-zone livestock keepers: size, registered voters","KNBS 2019 Census, Volume IV: households keeping livestock",KNBS,Open,Figure fig-4-3-segments,Sourced
"Formal-sector professionals and educators: size, registered voters",TSC establishment for Kitui; County Public Service Board staff return,Public-sector employers,Open,Figure fig-4-3-segments,Sourced
"Out-of-county Kamba diaspora: size, registered voters","KNBS 2019 Census migration tables, against the IEBC register by polling station",IEBC,Open,Figure fig-4-3-segments,Sourced
