Rank,Ward,Constituency,"Registered voters, 2022","Share, %","Running total, %",Basis
1,Kyuso,Mwingi North,19921,3.7,3.7,Sourced
2,Township,Kitui Central,19538,3.7,7.4,Sourced
3,Kwa Vonza/Yatta,Kitui Rural,18020,3.4,10.8,Sourced
4,Mutonguni,Kitui West,17979,3.4,14.2,Sourced
5,Tseikuru,Mwingi North,16471,3.1,17.3,Sourced
6,Kyangwithya West,Kitui Central,15931,3,20.2,Sourced
7,Mumoni,Mwingi North,15877,3,23.2,Sourced
8,Athi,Kitui South,15843,3,26.2,Sourced
9,Kauwi,Kitui West,15767,3,29.2,Sourced
10,Kyangwithya East,Kitui Central,15401,2.9,32,Sourced
11,Ikanga/Kyatune,Kitui South,15384,2.9,34.9,Sourced
12,Mulango,Kitui Central,15135,2.8,37.8,Sourced
13,Nguutani,Mwingi West,15121,2.8,40.6,Sourced
14,Kyome/Thaana,Mwingi West,14979,2.8,43.4,Sourced
15,Migwani,Mwingi West,14678,2.8,46.2,Sourced
16,Central,Mwingi Central,14525,2.7,48.9,Sourced
17,Matinyani,Kitui West,14279,2.7,51.6,Sourced
18,Kisasi,Kitui Rural,13840,2.6,54.2,Sourced
19,Nguni,Mwingi Central,13165,2.5,56.7,Sourced
20,Zombe/Mwitika,Kitui East,13152,2.5,59.1,Sourced
21,Nuu,Mwingi Central,12729,2.4,61.5,Sourced
22,Mutomo,Kitui South,12637,2.4,63.9,Sourced
23,Chuluni,Kitui East,12622,2.4,66.3,Sourced
24,Kiomo/Kyethani,Mwingi West,12360,2.3,68.6,Sourced
25,Kivou,Mwingi Central,12301,2.3,70.9,Sourced
26,Ikutha,Kitui South,12066,2.3,73.2,Sourced
27,Mbitini,Kitui Rural,12048,2.3,75.4,Sourced
28,Miambani,Kitui Central,11759,2.2,77.6,Sourced
29,Nzambani,Kitui East,11723,2.2,79.8,Sourced
30,Kanyangi,Kitui Rural,11092,2.1,81.9,Sourced
31,Mui,Mwingi Central,11039,2.1,84,Sourced
32,Mutha,Kitui South,11039,2.1,86,Sourced
33,Kwa Mutonga/Kithumula,Kitui West,11022,2.1,88.1,Sourced
34,Waita,Mwingi Central,10472,2,90.1,Sourced
35,Voo/Kyamatu,Kitui East,10003,1.9,92,Sourced
36,Mutitu/Kaliku,Kitui East,9980,1.9,93.8,Sourced
37,Ngomeni,Mwingi North,9131,1.7,95.5,Sourced
38,Kanziko,Kitui South,8403,1.6,97.1,Sourced
39,Endau/Malalani,Kitui East,7897,1.5,98.6,Sourced
40,Tharaka,Mwingi North,7429,1.4,100,Sourced
