Ward,Constituency,"Registered voters, 2022",Where he has held office,Basis
Kyuso,Mwingi North,19921,Pool,Sourced
Tseikuru,Mwingi North,16471,Pool,Sourced
Mumoni,Mwingi North,15877,Pool,Sourced
Ngomeni,Mwingi North,9131,Pool,Sourced
Tharaka,Mwingi North,7429,Pool,Sourced
Nguutani,Mwingi West,15121,Pool,Sourced
Kyome/Thaana,Mwingi West,14979,Pool,Sourced
Migwani,Mwingi West,14678,Pool,Sourced
Kiomo/Kyethani,Mwingi West,12360,Pool,Sourced
Central,Mwingi Central,14525,Pool,Sourced
Nguni,Mwingi Central,13165,Pool,Sourced
Nuu,Mwingi Central,12729,Pool,Sourced
Kivou,Mwingi Central,12301,Pool,Sourced
Mui,Mwingi Central,11039,Pool,Sourced
Waita,Mwingi Central,10472,Pool,Sourced
Mutonguni,Kitui West,17979,—,Sourced
Kauwi,Kitui West,15767,—,Sourced
Matinyani,Kitui West,14279,—,Sourced
Kwa Mutonga/Kithumula,Kitui West,11022,—,Sourced
Kwa Vonza/Yatta,Kitui Rural,18020,—,Sourced
Kisasi,Kitui Rural,13840,—,Sourced
Mbitini,Kitui Rural,12048,—,Sourced
Kanyangi,Kitui Rural,11092,—,Sourced
Township,Kitui Central,19538,Held,Sourced
Kyangwithya West,Kitui Central,15931,Held,Sourced
Kyangwithya East,Kitui Central,15401,Held,Sourced
Mulango,Kitui Central,15135,Held,Sourced
Miambani,Kitui Central,11759,Held,Sourced
Zombe/Mwitika,Kitui East,13152,—,Sourced
Chuluni,Kitui East,12622,—,Sourced
Nzambani,Kitui East,11723,—,Sourced
Voo/Kyamatu,Kitui East,10003,—,Sourced
Mutito/Kaliku,Kitui East,9980,—,Sourced
Endau/Malalani,Kitui East,7897,—,Sourced
Athi,Kitui South,15843,Pool,Sourced
Ikanga/Kyatune,Kitui South,15384,Pool,Sourced
Mutomo,Kitui South,12637,Pool,Sourced
Ikutha,Kitui South,12066,Pool,Sourced
Mutha,Kitui South,11039,Pool,Sourced
Kanziko,Kitui South,8403,Pool,Sourced
