Ward,Constituency,"Registered voters, 2022",Where party loyalty won't carry him,Basis
Kyuso,Mwingi North,19921,—,Sourced
Tseikuru,Mwingi North,16471,—,Sourced
Mumoni,Mwingi North,15877,—,Sourced
Ngomeni,Mwingi North,9131,—,Sourced
Tharaka,Mwingi North,7429,—,Sourced
Nguutani,Mwingi West,15121,—,Sourced
Kyome/Thaana,Mwingi West,14979,—,Sourced
Migwani,Mwingi West,14678,—,Sourced
Kiomo/Kyethani,Mwingi West,12360,—,Sourced
Central,Mwingi Central,14525,—,Sourced
Nguni,Mwingi Central,13165,—,Sourced
Nuu,Mwingi Central,12729,—,Sourced
Kivou,Mwingi Central,12301,—,Sourced
Mui,Mwingi Central,11039,—,Sourced
Waita,Mwingi Central,10472,—,Sourced
Mutonguni,Kitui West,17979,—,Sourced
Kauwi,Kitui West,15767,—,Sourced
Matinyani,Kitui West,14279,—,Sourced
Kwa Mutonga/Kithumula,Kitui West,11022,—,Sourced
Kwa Vonza/Yatta,Kitui Rural,18020,—,Sourced
Kisasi,Kitui Rural,13840,—,Sourced
Mbitini,Kitui Rural,12048,—,Sourced
Kanyangi,Kitui Rural,11092,—,Sourced
Township,Kitui Central,19538,Own race,Sourced
Kyangwithya West,Kitui Central,15931,Own race,Sourced
Kyangwithya East,Kitui Central,15401,Own race,Sourced
Mulango,Kitui Central,15135,Own race,Sourced
Miambani,Kitui Central,11759,Own race,Sourced
Zombe/Mwitika,Kitui East,13152,UDA,Sourced
Chuluni,Kitui East,12622,UDA,Sourced
Nzambani,Kitui East,11723,UDA,Sourced
Voo/Kyamatu,Kitui East,10003,UDA,Sourced
Mutito/Kaliku,Kitui East,9980,UDA,Sourced
Endau/Malalani,Kitui East,7897,UDA,Sourced
Athi,Kitui South,15843,Jubilee,Sourced
Ikanga/Kyatune,Kitui South,15384,Jubilee,Sourced
Mutomo,Kitui South,12637,Jubilee,Sourced
Ikutha,Kitui South,12066,Jubilee,Sourced
Mutha,Kitui South,11039,Jubilee,Sourced
Kanziko,Kitui South,8403,Jubilee,Sourced
