Ward,Constituency,"Registered voters, 2022",Where he has held office,Basis
Kyuso,Mwingi North,19921,The pool: never held office,Sourced
Tseikuru,Mwingi North,16471,The pool: never held office,Sourced
Mumoni,Mwingi North,15877,The pool: never held office,Sourced
Ngomeni,Mwingi North,9131,The pool: never held office,Sourced
Tharaka,Mwingi North,7429,The pool: never held office,Sourced
Nguutani,Mwingi West,15121,The pool: never held office,Sourced
Kyome/Thaana,Mwingi West,14979,The pool: never held office,Sourced
Migwani,Mwingi West,14678,The pool: never held office,Sourced
Kiomo/Kyethani,Mwingi West,12360,The pool: never held office,Sourced
Central,Mwingi Central,14525,The pool: never held office,Sourced
Nguni,Mwingi Central,13165,The pool: never held office,Sourced
Nuu,Mwingi Central,12729,The pool: never held office,Sourced
Kivou,Mwingi Central,12301,The pool: never held office,Sourced
Mui,Mwingi Central,11039,The pool: never held office,Sourced
Waita,Mwingi Central,10472,The pool: never held office,Sourced
Mutonguni,Kitui West,17979,"Never held office, outside the pool",Sourced
Kauwi,Kitui West,15767,"Never held office, outside the pool",Sourced
Matinyani,Kitui West,14279,"Never held office, outside the pool",Sourced
Kwa Mutonga/Kithumula,Kitui West,11022,"Never held office, outside the pool",Sourced
Kwa Vonza/Yatta,Kitui Rural,18020,"Never held office, outside the pool",Sourced
Kisasi,Kitui Rural,13840,"Never held office, outside the pool",Sourced
Mbitini,Kitui Rural,12048,"Never held office, outside the pool",Sourced
Kanyangi,Kitui Rural,11092,"Never held office, outside the pool",Sourced
Township,Kitui Central,19538,Held office,Sourced
Kyangwithya West,Kitui Central,15931,Held office,Sourced
Kyangwithya East,Kitui Central,15401,Held office,Sourced
Mulango,Kitui Central,15135,Held office,Sourced
Miambani,Kitui Central,11759,Held office,Sourced
Zombe/Mwitika,Kitui East,13152,"Never held office, outside the pool",Sourced
Chuluni,Kitui East,12622,"Never held office, outside the pool",Sourced
Nzambani,Kitui East,11723,"Never held office, outside the pool",Sourced
Voo/Kyamatu,Kitui East,10003,"Never held office, outside the pool",Sourced
Mutitu/Kaliku,Kitui East,9980,"Never held office, outside the pool",Sourced
Endau/Malalani,Kitui East,7897,"Never held office, outside the pool",Sourced
Athi,Kitui South,15843,The pool: never held office,Sourced
Ikanga/Kyatune,Kitui South,15384,The pool: never held office,Sourced
Mutomo,Kitui South,12637,The pool: never held office,Sourced
Ikutha,Kitui South,12066,The pool: never held office,Sourced
Mutha,Kitui South,11039,The pool: never held office,Sourced
Kanziko,Kitui South,8403,The pool: never held office,Sourced
